title#$#value#$#end_time
Impressions#$#0#$#2020-08-20T07:00:00+0000
Impressions#$#0#$#2020-08-21T07:00:00+0000
Impressions#$#0#$#2020-08-22T07:00:00+0000
Impressions#$#0#$#2020-08-23T07:00:00+0000
Impressions#$#0#$#2020-08-24T07:00:00+0000
Impressions#$#2#$#2020-08-25T07:00:00+0000
Impressions#$#0#$#2020-08-26T07:00:00+0000
Impressions#$#0#$#2020-08-27T07:00:00+0000
Impressions#$#0#$#2020-08-28T07:00:00+0000
Impressions#$#0#$#2020-08-29T07:00:00+0000
Impressions#$#0#$#2020-08-30T07:00:00+0000
Impressions#$#0#$#2020-08-31T07:00:00+0000
Reach#$#0#$#2020-08-20T07:00:00+0000
Reach#$#0#$#2020-08-21T07:00:00+0000
Reach#$#0#$#2020-08-22T07:00:00+0000
Reach#$#0#$#2020-08-23T07:00:00+0000
Reach#$#0#$#2020-08-24T07:00:00+0000
Reach#$#1#$#2020-08-25T07:00:00+0000
Reach#$#0#$#2020-08-26T07:00:00+0000
Reach#$#0#$#2020-08-27T07:00:00+0000
Reach#$#0#$#2020-08-28T07:00:00+0000
Reach#$#0#$#2020-08-29T07:00:00+0000
Reach#$#0#$#2020-08-30T07:00:00+0000
Reach#$#0#$#2020-08-31T07:00:00+0000
Follower Count#$#0#$#2020-08-20T07:00:00+0000
Follower Count#$#0#$#2020-08-21T07:00:00+0000
Follower Count#$#0#$#2020-08-22T07:00:00+0000
Follower Count#$#0#$#2020-08-23T07:00:00+0000
Follower Count#$#0#$#2020-08-24T07:00:00+0000
Follower Count#$#1#$#2020-08-25T07:00:00+0000
Follower Count#$#0#$#2020-08-26T07:00:00+0000
Follower Count#$#1#$#2020-08-27T07:00:00+0000
Follower Count#$#0#$#2020-08-28T07:00:00+0000
Follower Count#$#0#$#2020-08-29T07:00:00+0000
Follower Count#$#0#$#2020-08-30T07:00:00+0000
Follower Count#$#0#$#2020-08-31T07:00:00+0000
Email Contacts#$#0#$#2020-08-20T07:00:00+0000
Email Contacts#$#0#$#2020-08-21T07:00:00+0000
Email Contacts#$#0#$#2020-08-22T07:00:00+0000
Email Contacts#$#0#$#2020-08-23T07:00:00+0000
Email Contacts#$#0#$#2020-08-24T07:00:00+0000
Email Contacts#$#0#$#2020-08-25T07:00:00+0000
Email Contacts#$#0#$#2020-08-26T07:00:00+0000
Email Contacts#$#0#$#2020-08-27T07:00:00+0000
Email Contacts#$#0#$#2020-08-28T07:00:00+0000
Email Contacts#$#0#$#2020-08-29T07:00:00+0000
Email Contacts#$#0#$#2020-08-30T07:00:00+0000
Email Contacts#$#0#$#2020-08-31T07:00:00+0000
Phone Call Clicks#$#0#$#2020-08-20T07:00:00+0000
Phone Call Clicks#$#0#$#2020-08-21T07:00:00+0000
Phone Call Clicks#$#0#$#2020-08-22T07:00:00+0000
Phone Call Clicks#$#0#$#2020-08-23T07:00:00+0000
Phone Call Clicks#$#0#$#2020-08-24T07:00:00+0000
Phone Call Clicks#$#0#$#2020-08-25T07:00:00+0000
Phone Call Clicks#$#0#$#2020-08-26T07:00:00+0000
Phone Call Clicks#$#0#$#2020-08-27T07:00:00+0000
Phone Call Clicks#$#0#$#2020-08-28T07:00:00+0000
Phone Call Clicks#$#0#$#2020-08-29T07:00:00+0000
Phone Call Clicks#$#0#$#2020-08-30T07:00:00+0000
Phone Call Clicks#$#0#$#2020-08-31T07:00:00+0000
Text Message Clicks#$#0#$#2020-08-20T07:00:00+0000
Text Message Clicks#$#0#$#2020-08-21T07:00:00+0000
Text Message Clicks#$#0#$#2020-08-22T07:00:00+0000
Text Message Clicks#$#0#$#2020-08-23T07:00:00+0000
Text Message Clicks#$#0#$#2020-08-24T07:00:00+0000
Text Message Clicks#$#0#$#2020-08-25T07:00:00+0000
Text Message Clicks#$#0#$#2020-08-26T07:00:00+0000
Text Message Clicks#$#0#$#2020-08-27T07:00:00+0000
Text Message Clicks#$#0#$#2020-08-28T07:00:00+0000
Text Message Clicks#$#0#$#2020-08-29T07:00:00+0000
Text Message Clicks#$#0#$#2020-08-30T07:00:00+0000
Text Message Clicks#$#0#$#2020-08-31T07:00:00+0000
Get Directions Clicks#$#0#$#2020-08-20T07:00:00+0000
Get Directions Clicks#$#0#$#2020-08-21T07:00:00+0000
Get Directions Clicks#$#0#$#2020-08-22T07:00:00+0000
Get Directions Clicks#$#0#$#2020-08-23T07:00:00+0000
Get Directions Clicks#$#0#$#2020-08-24T07:00:00+0000
Get Directions Clicks#$#0#$#2020-08-25T07:00:00+0000
Get Directions Clicks#$#0#$#2020-08-26T07:00:00+0000
Get Directions Clicks#$#0#$#2020-08-27T07:00:00+0000
Get Directions Clicks#$#0#$#2020-08-28T07:00:00+0000
Get Directions Clicks#$#0#$#2020-08-29T07:00:00+0000
Get Directions Clicks#$#0#$#2020-08-30T07:00:00+0000
Get Directions Clicks#$#0#$#2020-08-31T07:00:00+0000
Website Clicks#$#0#$#2020-08-20T07:00:00+0000
Website Clicks#$#0#$#2020-08-21T07:00:00+0000
Website Clicks#$#0#$#2020-08-22T07:00:00+0000
Website Clicks#$#0#$#2020-08-23T07:00:00+0000
Website Clicks#$#0#$#2020-08-24T07:00:00+0000
Website Clicks#$#0#$#2020-08-25T07:00:00+0000
Website Clicks#$#0#$#2020-08-26T07:00:00+0000
Website Clicks#$#0#$#2020-08-27T07:00:00+0000
Website Clicks#$#0#$#2020-08-28T07:00:00+0000
Website Clicks#$#0#$#2020-08-29T07:00:00+0000
Website Clicks#$#0#$#2020-08-30T07:00:00+0000
Website Clicks#$#0#$#2020-08-31T07:00:00+0000
Profile Views#$#0#$#2020-08-20T07:00:00+0000
Profile Views#$#0#$#2020-08-21T07:00:00+0000
Profile Views#$#0#$#2020-08-22T07:00:00+0000
Profile Views#$#0#$#2020-08-23T07:00:00+0000
Profile Views#$#0#$#2020-08-24T07:00:00+0000
Profile Views#$#1#$#2020-08-25T07:00:00+0000
Profile Views#$#0#$#2020-08-26T07:00:00+0000
Profile Views#$#0#$#2020-08-27T07:00:00+0000
Profile Views#$#0#$#2020-08-28T07:00:00+0000
Profile Views#$#0#$#2020-08-29T07:00:00+0000
Profile Views#$#0#$#2020-08-30T07:00:00+0000
Profile Views#$#0#$#2020-08-31T07:00:00+0000
